Название товара	Душевая кабина Parly ET103
Описание товара	Душевая кабина ET103, , Размер: 100х100x210 см, , Душевая кабина с низким поддоном. Внутри кабины хорошо сохраняется тепло, модель герметична, вода сквозь стыки наружу не просачивается., , Достоинства:, , Стекло: жемчужное, 4 мм. Закаленное полотно практически невозможно разбить. В случае битья стекло рассыпается на множество граней с тупыми концами, о которые невозможно пораниться., , Стенки: закаленное жемчужное стекло, 4 мм., , Профиль: белый, алюминиевый. Профиль не деформируется при перепадах температуры и устойчив к образованию коррозии., , Центральная панель белая, в которую возможна установка сенсорного пульта., , Поддон: низкий, 10 см, полукруглый. Материал - АВS. Рельефное дно предупреждает падения., , Комплектация: верхний душ ТРОПИК, ручной душ, сифон., , Раздвижные двери смыкаются плотно. Створки ходят плавно, не заедают.
Цена в рублях	37875
Цена без скидки	-
Оценка покупателей	0%
Название магазина	VKUSS Spa
Количество отзывов	0
Тип	Душевая кабина
Длина, см	100
Ширина, см	100
Высота, см	210
Толщина стекла, мм	4
Стекло	Матовое
Управление	Ручное
Страна-изготовитель	Китай
Размеры, мм	1000х1000х2100
Материал дверей	Закаленное стекло
Бренд	Parly
Число дверей	2
Форма	Четверть круга
Двери	Раздвижные в стороны
Установлено	Верхний душ
Ориентация установки	Универсальная
Монтаж	Напольный
Высота поддона	Низкий
Материал задней стенки	Стекло
Цвет фурнитуры	Серебристый
Гарантия	1 год
Адрес товара	https://www.ozon.ru/product/301249922?oos_search=false
Статус 	Закончился
