Название товара	Душевая кабина Parly ET122R
Описание товара	Душевая кабина Parly ET122R, , Размер: 120х80х215 см, , Правосторонняя кабина. Сочетание белого профиля и жемчужного полотна придает модели универсальный внешний вид, поэтому кабина впишется в любое стилистическое оформление ванной комнаты., , Достоинства:, Жемчужное стекло, 4 мм. Закаленное полотно устойчиво к случайным ударам. Если стекло разобьется, полотно рассыплется на множество мелких граней с тупыми концами, о которые невозможно травмироваться., Стенки: закаленное стекло жемчужное 4 мм., Профиль: матовый хромированный алюминиевый, устойчив к образованию коррозии., Поддон: высокий 42 cм, асимметричный, с рельефным дном. Поддон удобно использовать в качестве ванночки для купания детей и животных. На литом сиденье можно хранить душевые принадлежности., Комплектация: верхний душ ТРОПИК, ручной душ, сифон., В центральную панель возможна установка сенсорного пульта.
Цена в рублях	38500
Цена без скидки	-
Оценка покупателей	88.8889%
Название магазина	VKUSS Spa
Количество отзывов	2
Тип	Душевая кабина
Длина, см	120
Ширина, см	80
Высота, см	215
Толщина стекла, мм	4
Стекло	Матовое
Управление	Ручное
Страна-изготовитель	Китай
Цвет	Жемчужный
Размеры, мм	1200х800х2150
Двери	Раздвижные в стороны
Цвет фурнитуры	Серебристый
Форма	Нестандартная
Материал дверей	Закаленное стекло
Высота поддона	Высокий
Материал поддона	ABS пластик
Установлено	Верхний душ
Монтаж	Напольный
Число дверей	2
Бренд	Parly
Гарантия	1 год
Ориентация установки	Правосторонняя
Адрес товара	https://www.ozon.ru/product/301255011?oos_search=false
Статус 	Закончился
