Название товара	Душевая кабина Parly P91
Описание товара	Душевая кабина Parly P91, , Размер: 90х90х215 см, , Светлая модель дополнит любое оформление ванной комнаты. Кабина с низким поддоном особенно подойдет для людей преклонного возраста., , Достоинства:, , Прозрачное стекло, 4 мм. Закаленное полотно устойчиво к случайным ударам. В случае битья стекло рассыпается на мелкие гранулы, о которые невозможно порезаться., , Стенки из закаленного белого стекло (4 мм) просты в уходе и не требуют частой чистки., , Белый алюминиевый профиль не подвержен коррозии., , Поддон: низкий 12 см, трапециевидный. Рельефное дно предупреждает падения., , Удобное переключение на верхний или ручной душ., , Комплектация: верхний душ ТРОПИК, ручной душ, полка, сифон.
Цена в рублях	39750
Цена без скидки	-
Оценка покупателей	0%
Название магазина	VKUSS Spa
Количество отзывов	0
Тип	Душевая кабина
Длина, см	90
Ширина, см	90
Высота, см	215
Толщина стекла, мм	4
Стекло	Прозрачное
Управление	Ручное
Страна-изготовитель	Китай
Размеры, мм	900х900х2150
Материал поддона	Акрил
Ориентация установки	Универсальная
Монтаж	Напольный
Число дверей	2
Гарантия	1 год
Двери	Раздвижные в стороны
Материал задней стенки	Стекло
Высота поддона	Низкий
Цвет фурнитуры	Белый
Бренд	Parly
Установлено	Верхний душ
Цвет стенки	Белый
Материал дверей	Закаленное стекло
Адрес товара	https://www.ozon.ru/product/301627917?oos_search=false
Статус 	Закончился
