Название товара	Душевая кабина Parly P91F
Описание товара	Душевая кабина Parly P91F , , Размер: 90х90х215 см, , Душевая кабина трапециевидной формы сохраняет полезную площадь в ванной комнате, причем внутри самой душевой зоны достаточно просторно принимать водные процедуры., , Достоинства:, Закаленное стекло, 4 мм. Матовое полотно скрывает человека внутри кабины, снаружи можно рассмотреть только контуры тела. Закаленное стекло устойчиво к случайным ударам. В случае биться полотно рассыпается на множество граней с тупыми концами, о которые нельзя порезаться., Задние стенки из закаленного белого стекла, 4 мм., Профиль: белый алюминиевый. Не боится перепадов температуры и влажности, устойчив к образованию коррозии., Поддон: низкий 12 см, трапеция. Низкий борт легко переступают пожилые и люди с инвалидностью. Рельефное дно предупреждает падения., Раздвижная дверь ходит плавно и бесшумно. С направляющих не соскакивает., Комплектация: верхний душ ТРОПИК, ручной душ, полка, сифон.
Цена в рублях	39750
Цена без скидки	-
Оценка покупателей	0%
Название магазина	VKUSS Spa
Количество отзывов	0
Тип	Душевая кабина
Длина, см	90
Ширина, см	90
Высота, см	215
Толщина стекла, мм	4
Стекло	Матовое
Управление	Ручное
Страна-изготовитель	Китай
Размеры, мм	900х900х2150
Двери	Раздвижные в стороны
Монтаж	Напольный
Цвет фурнитуры	Серебристый
Высота поддона	Низкий
Материал задней стенки	Стекло
Материал поддона	ABS пластик
Цвет стенки	Белый
Бренд	Parly
Число дверей	2
Материал дверей	Закаленное стекло
Установлено	Верхний душ
Ориентация установки	Универсальная
Гарантия	1 год
Адрес товара	https://www.ozon.ru/product/301628140?oos_search=false
Статус 	Закончился
