Название товара	Душевая кабина Parly FQ81
Описание товара	Душевая кабина Parly FQ81, , Размер: 80х80х215 см, , Бюджетная кабина занимает минимум места в санузле. За счет отсутствия центральной панели внутри кабины больше места, чем в моделях аналогичного размера., , Достоинства:, Стекло: 4 мм, FROST. Закаленное полотно устойчиво к случайным ударам., Задние стенки – закаленное стекло FROST, 4 мм., Профиль – алюминиевый, устойчив к образованию коррозии., Поддон: низкий 10 см, квадратный. Рельефное дно предупреждает падения., Комплектация: верхний душ ТРОПИК, многорежимная ручная лейка, сифон., Особенности: усиленные алюминиевые магниты., Раздвижные двери ходят плавно, створки смыкаются плотно.
Цена в рублях	36250
Цена без скидки	-
Оценка покупателей	0%
Название магазина	VKUSS Spa
Количество отзывов	0
Тип	Душевая кабина
Длина, см	80
Ширина, см	80
Высота, см	215
Толщина стекла, мм	4
Стекло	Матовое
Управление	Ручное
Страна-изготовитель	Китай
Размеры, мм	800х800х2150
Высота поддона	Низкий
Число дверей	2
Гарантия	1 год
Материал поддона	ABS пластик
Материал дверей	Закаленное стекло
Монтаж	Напольный
Форма	Квадрат
Установлено	Верхний душ
Двери	Раздвижные в стороны
Бренд	Parly
Ориентация установки	Универсальная
Адрес товара	https://www.ozon.ru/product/301628407?oos_search=false
Статус 	Закончился
