Название товара	Душевая кабина Parly ETM92
Описание товара	Душевая кабина EBM92, , Размер: 90х90х215 см., , Особенности:, , Стекло: закаленное, противоосколочное, ударопрочное, жемчужное, 4 мм., , Стенки: закаленное, закаленное, противоосколочное, ударопрочное, жемчужное., , Профиль: белый, алюминиевый., , Центральная панель белая., , Поддон: средний, 26 см, полукруглый, с бортиком (система аквастоп).Материал - АБС пластик, армирован стекловолокном. Дополнительная ножка конструкции. Противоскользящее покрытие. Съёмный передний экран на защелках., , Комплектация: осмеситель, верхний душ ТРОПИК, ручной душ, сифон., , Достоинства:, , Магнитные уплотнители двери под 45°., , Соединение без болтовое. Дополнительные силиконовые уплотнители., , Двери раздвижные, на роликах. Нижние ролики на клипсе с механизмом отстегивания. Силиконовые водоотсекатели., , Душевая кабина отлично подходит для дачи и квартиры., , Преимущества модели: экономия пространства, вместительность, безопасное стекло, плавное бесшумное открывание дверей, простая регулировка дверей, повышенная герметичность, легкий доступ к стеклу и профилю для очистки., , Высота поддона 26 см - золотая середина !
Цена в рублях	34875
Цена без скидки	-
Оценка покупателей	100%
Название магазина	VKUSS Spa
Количество отзывов	1
Тип	Душевая кабина
Длина, см	90
Ширина, см	90
Высота, см	215
Толщина стекла, мм	4
Стекло	Матовое
Управление	Ручное
Страна-изготовитель	Китай
Размеры, мм	900х900х2150
Гарантия	1 год
Высота поддона	Средний
Число дверей	2
Форма	Четверть круга
Монтаж	Напольный
Материал поддона	Акрил
Двери	Раздвижные в стороны
Ориентация установки	Универсальная
Цвет стенки	Светло-бежевый
Материал дверей	Закаленное стекло
Бренд	Parly
Материал задней стенки	Стекло
Цвет фурнитуры	Белый
Установлено	Верхний душ
Адрес товара	https://www.ozon.ru/product/301629217?oos_search=false
Статус 	Закончился
