Название товара	Душевая кабина GROSSMAN (GR171D)
Описание товара	слив в углу
Цена в рублях	56100
Цена без скидки	-
Оценка покупателей	94.2222%
Название магазина	ЭЛЕПТИКА
Количество отзывов	10
Тип	Душевая кабина
Длина, см	90
Ширина, см	90
Высота, см	200
Толщина стекла, мм	6
Страна-изготовитель	Китай
Гарантия	5 лет
Бренд	Grossman
Высота поддона	Низкий
Ориентация установки	Универсальная
Материал дверей	Закаленное стекло
Цвет стенки	Белый
Адрес товара	https://www.ozon.ru/product/305065625?oos_search=false
Статус 	Закончился
