Название товара	Душевая кабина GROSSMAN (GR172QL)
Описание товара	слив в углу, по прямому углу и двери определяется L/R
Цена в рублях	67300
Цена без скидки	-
Оценка покупателей	94.2222%
Название магазина	ЭЛЕПТИКА
Количество отзывов	10
Тип	Душевая кабина
Длина, см	90
Ширина, см	90
Высота, см	200
Толщина стекла, мм	6
Стекло	Матовое
Управление	Ручное
Страна-изготовитель	Китай
Монтаж	Напольный
Высота поддона	Низкий
Цвет стенки	Белый
Гарантия	5 лет
Бренд	Grossman
Материал дверей	Закаленное стекло
Ориентация установки	Левосторонняя
Материал поддона	Акрил
Двери	Открывающиеся влево
Адрес товара	https://www.ozon.ru/product/305067581?oos_search=false
Статус 	Закончился
