Название товара	Душевая кабина Niagara NG-7711WL
Описание товара	Душевая кабина Niagara Luxe NG7711WL относится к премиальному ценовому сегменту. Для оборудования такого класса характерно высокое качество материалов и комплектующих, а также максимум дополнительных функций. Данная модель имеет габаритные размеры 120x90x215 см., что делает ее достаточно просторной. Ее высота составляет 215 см. Эта кабина комплектуется крышей + тропическим душем. Поддон Luxe NG7711WL имеет небольшую высоту и составляет 15 см. Это позволяет легко входить в кабину, а также делает ее дешевле. Выполнен поддон из акрила и имеет прямоугольную форму. Двери и стенки данной модели выполнены из стекла толщиной 8 мм. Это дает Luxe NG7711WL высокую степень звукоизоляции, а также высокую жесткость конструкции и долговечность. Из дополнительных функций в данной модели присутствуют:, Тропический верхний душ, Гидромассаж, Радио, Вентиляция, Подсветка
Цена в рублях	88600
Цена без скидки	-
Оценка покупателей	94.2222%
Название магазина	ЭЛЕПТИКА
Количество отзывов	10
Тип	Душевая кабина
Длина, см	90
Ширина, см	120
Высота, см	215
Толщина стекла, мм	8
Стекло	Прозрачное
Управление	Ручное
Страна-изготовитель	Китай
Цвет	Серебристый
Размеры, мм	(900х1200х2150)
Ориентация установки	Левосторонняя
Число дверей	1
Цвет фурнитуры	Серебристый
Двери	Открывающиеся в стороны
Форма	Прямоугольник
Бренд	Niagara
Материал поддона	Акрил
Материал дверей	Стекло
Монтаж	На поддон
Гарантия	5 лет
Цвет стенки	Светло-серый
Высота поддона	Низкий
Адрес товара	https://www.ozon.ru/product/305073730?oos_search=false
Статус 	Закончился
