Название товара	Душевая кабина Niagara NG-7712GL
Описание товара	Душевая кабина Niagara Luxe NG7712GL относится к премиальному ценовому сегменту. Для оборудования такого класса характерно высокое качество материалов и комплектующих, а также максимум дополнительных функций. Данная модель имеет габаритные размеры 120x80x215 см., что делает ее достаточно просторной. Ее высота составляет 215 см. Эта кабина комплектуется крышей + тропическим душем. Поддон Luxe NG7712GL имеет увеличенную высоту и составляет 38 см. Такой поддон позволяет вполне эффективно заменить ванну. Выполнен поддон из акрила и имеет форму Прямоугольная асимметричная. Двери и стенки данной модели выполнены из стекла толщиной 5 мм. Это дает Luxe NG7712GL высокую степень звукоизоляции, а также высокую жесткость конструкции и долговечность. Из дополнительных функций в данной модели присутствуют:, Тропический верхний душ, Гидромассаж, Радио, Вентиляция, Подсветка
Цена в рублях	68900
Цена без скидки	-
Оценка покупателей	94.2222%
Название магазина	ЭЛЕПТИКА
Количество отзывов	10
Тип	Душевая кабина
Длина, см	120
Ширина, см	80
Высота, см	220
Толщина стекла, мм	8
Стекло	Прозрачное
Управление	Ручное
Страна-изготовитель	Китай
Цвет	Золотой, белый
Размеры, мм	(1200х800х2200)
Материал дверей	Стекло
Число дверей	1
Бренд	Niagara
Монтаж	На поддон
Материал поддона	Акрил
Форма	Нестандартная
Гарантия	5 лет
Двери	Раздвижные в стороны
Цвет фурнитуры	Серебристый
Цвет стенки	Золотой
Ориентация установки	Левосторонняя
Адрес товара	https://www.ozon.ru/product/305075284?oos_search=false
Статус 	Закончился
