Название товара	Душевая кабина Niagara NG-7711WBK
Описание товара	Душевая кабина Niagara Luxe NG7711WBK относится к премиальному ценовому сегменту. Для оборудования такого класса характерно высокое качество материалов и комплектующих, а также максимум дополнительных функций. Данная модель имеет габаритные размеры 90x120x210 см., что делает ее достаточно просторной. Ее высота составляет 210 см. Эта кабина относится к категории открытых и не комплектуется крышей. Поддон Luxe NG7711WBK имеет небольшую высоту и составляет 15 см. Это позволяет легко входить в кабину, а также делает ее дешевле. Выполнен поддон из акрила и имеет прямоугольную форму. Двери и стенки данной модели выполнены из стекла толщиной 6 мм. Это дает Luxe NG7711WBK высокую степень звукоизоляции, а также высокую жесткость конструкции и долговечность. Из дополнительных функций в данной модели присутствуют:, Тропический верхний душ
Цена в рублях	76400
Цена без скидки	-
Оценка покупателей	94.2222%
Название магазина	ЭЛЕПТИКА
Количество отзывов	10
Тип	Душевая кабина
Длина, см	120
Ширина, см	90
Высота, см	210
Толщина стекла, мм	6
Стекло	Прозрачное
Управление	Ручное
Страна-изготовитель	Китай
Цвет	Серебристый, белый
Размеры, мм	(1200х900х2100)
Ориентация установки	Универсальная
Двери	Раздвижные в стороны
Бренд	Niagara
Цвет стенки	Светло-серый
Материал поддона	Акрил
Число дверей	1
Цвет фурнитуры	Серебристый
Гарантия	5 лет
Материал дверей	Закаленное стекло
Высота поддона	Низкий
Форма	Прямоугольник
Монтаж	На поддон
Адрес товара	https://www.ozon.ru/product/305081997?oos_search=false
Статус 	Закончился
