Название товара	Душевая кабина Niagara NG-1901
Описание товара	Душевая кабина Niagara Ultra NG190101 Black относится к премиальному ценовому сегменту. Для оборудования такого класса характерно высокое качество материалов и комплектующих, а также максимум дополнительных функций. Данная модель имеет габаритные размеры 90x90x220 см., что делает ее достаточно просторной. Ее высота составляет 220 см. Эта кабина комплектуется крышей + тропическим душем. Поддон Ultra NG190101 Black имеет небольшую высоту и составляет 16 см. Это позволяет легко входить в кабину, а также делает ее дешевле. Выполнен поддон из акрила и имеет форму четверти круга. Двери и стенки данной модели выполнены из стекла толщиной 4 мм. Это дает Ultra NG190101 Black среднюю степень звукоизоляции, а также обеспечивает приемлемую цену и высокую долговечность. Из дополнительных функций в данной модели присутствуют:, Тропический верхний душ, Гидромассаж, Радио, Вентиляция, Подсветка
Цена в рублях	48800
Цена без скидки	-
Оценка покупателей	94.2222%
Название магазина	ЭЛЕПТИКА
Количество отзывов	10
Тип	Душевая кабина
Длина, см	90
Ширина, см	90
Высота, см	220
Толщина стекла, мм	4
Стекло	Прозрачное
Управление	Ручное
Страна-изготовитель	Китай
Цвет	Черный, белый
Размеры, мм	(900х900х2200)
Материал поддона	Акрил
Бренд	Niagara
Материал дверей	Стекло
Гарантия	5 лет
Цвет стенки	Светло-серый
Монтаж	На поддон
Ориентация установки	Универсальная
Высота поддона	Низкий
Число дверей	2
Двери	Раздвижные в стороны
Цвет фурнитуры	Серебристый
Форма	Четверть круга
Адрес товара	https://www.ozon.ru/product/305117384?oos_search=false
Статус 	Закончился
